,created_at,user,user_followers_count,text,lang,Location,retweet_count,favorite_count
69,2016-07-08 08:55:57,vallettea,795,Machine Learning pour l'Immobilier https://t.co/1YwdQz6BvB raconté par @LilliJane et Du Phan https://t.co/k6iIrWpNvx https://t.co/mgLnL19get,fr,,5,3
70,2016-07-08 08:55:49,DamianoMe,3152,RT @pllnrds: Smartphone health data slammed as 'voodoo machine learning' | https://t.co/eGTwRD3RWM https://t.co/prYr1htVcy,en,,1,0
71,2016-07-08 08:55:01,iTunesUTop,322,Germany Collections 89. Machine Learning - Andrew Ng  https://t.co/HMDwcZZNNH  #iTunes #iPhone #Apple  8099,en,,0,0
72,2016-07-08 08:54:33,WildfirePR,4232,"Taken a left turn now: a next-gen Furby, black box for personal vehicles, machine learning monitors for horses (#NeighoT?) #sbcselectiondays",en,,0,0
73,2016-07-08 08:53:43,ITCrowdsource,3910,RT @GutmanYotam: Key trends in #MachineLearning  and #AI  https://t.co/DQMTLHRbvA via @techcrunch,en,,1,0
74,2016-07-08 08:53:34,seekhain,56,RT @rajenbala: ACM #SIGKDD 2016 - How India fares in Machine Learning - https://t.co/HEKZ103yLb,en,,1,0
75,2016-07-08 08:53:18,rajenbala,185,ACM #SIGKDD 2016 - How India fares in Machine Learning - https://t.co/HEKZ103yLb,en,,1,0
76,2016-07-08 08:53:09,mxlearn,13488,Machine learning algorithm cheat sheet https://t.co/UwyxNCk0zX,en,,3,9
77,2016-07-08 08:52:59,elena_roditi,269,"@A_Bensoussan @j_lngls Les différences entre #MachineLearning et approche déterministe pour l'#IA 
https://t.co/1ieG1UZdcH",fr,,0,0
78,2016-07-08 08:52:31,GutmanYotam,3457,Key trends in #MachineLearning  and #AI  https://t.co/DQMTLHRbvA via @techcrunch,en,,1,1
79,2016-07-08 08:52:22,sandeshr,718,Google Buys Machine Learning Startup Moodstocks https://t.co/paletvCKfj,en,,0,1
80,2016-07-08 08:52:08,cote_se,1281,Hatstand Teams Up SQream To Use Machine Learning https://t.co/zfjiBnZOAa #m2m,en,,0,0
81,2016-07-08 08:52:01,rudis1962,88,RT @DigitalTrends: Machine learning could help revolutionize early Alzheimer’s diagnosis https://t.co/jcfFbO57MM https://t.co/UW6hfJ4Wy7,en,,32,0
82,2016-07-08 08:51:55,bluegrassbloke,37,Google DeepMind pairs with NHS to use machine learning to fight blindness | Technology | The Guardian https://t.co/d4TRwJn1RW,en,,0,0
83,2016-07-08 08:51:51,cognition_x,52,RT @AWChristoph Key trends in Machine Learning #DataScience #MachineLearning https://t.co/FQ9assV3AF,en,,0,0
84,2016-07-08 08:51:45,iGotForms,3339,"RT @MayaVersal: The latest Space, Machine Learning &amp; AI News! https://t.co/BYuYZOnLt9 Thanks to @rommelnc #ai #artificialintelligence",en,,3,0
85,2016-07-08 08:50:50,Rene_the_Bot,12,"RT @skynet_io: #AI: freyduni: Google buys French startup to improve video, photo experience through machine learning https://t.co/nnsQDoQ99…",en,,1,0
86,2016-07-08 08:50:15,skynet_io,201,"#AI: freyduni: Google buys French startup to improve video, photo experience through machine learning https://t.co/nnsQDoQ99Y... #ML http:…",en,,1,0
87,2016-07-08 08:50:08,JohnCosstick,1898,A Machine Learning Primer https://t.co/OhzCo2QXiu,en,,0,0
88,2016-07-08 08:49:05,HRCurator,9044,RT @gleonhard How Google is Remaking Itself as a “Machine Learning First” Company https://t.co/q8sF8S0K5E #FutureofWork #SmarterHR,en,,1,1
89,2016-07-08 08:48:35,homeAInews,647,"RT @flamup24: This Week in Machine Learning, 8 July 2016 #MachineLearning... https://t.co/eykzw1stiQ",en,,6,0
90,2016-07-08 08:48:35,homeAInews,647,"RT @MayaVersal: The latest Space, Machine Learning &amp; AI News! https://t.co/BYuYZOnLt9 Thanks to @rommelnc #ai #artificialintelligence",en,,3,0
91,2016-07-08 08:47:26,1RACHACSECURITY,4721,Impact of machine learning - Techpipers #computing #cybersecurity  https://t.co/eJO3GwQINs,en,,0,0
92,2016-07-08 08:46:59,iTunesUTop,322,Spain Courses 55. Machine Learning - Stanford  https://t.co/tBsu5dTqD4  #iTunes #iPhone #Apple  7617,en,,0,0
93,2016-07-08 08:46:39,playstation3xxx,395,5 Minute Learning Machine https://t.co/21aVHhuARc,en,,0,0
94,2016-07-08 08:46:26,ShapePediatrics,29,RT @techjunkiejh: How to Apply #MachineLearning and #BigData Analytics to Real-Time Processing https://t.co/tvr5VG95zb https://t.co/6PKxtKd…,en,,8,0
95,2016-07-08 08:45:06,stevensep,195,How Google is Remaking Itself as a “Machine Learning First” Company — Backchannel https://t.co/siFvz5G8Qd,en,,0,1
